C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
259,0,0,0,0,0,1141.5292757976856,20428.111026662158,17682.192674569484
260,0,0,0,0,0,893.5404482510961,20299.713726275975,17769.93079943619
261,0,0,0,0,0,647.8944204600498,20167.91172294945,17858.487313347912
262,0,0,0,0,0,403.77139052239045,20033.56513051071,17947.28033214597
263,0,0,0,0,0,163.86847876488488,19890.314672628854,18035.854624471467
264,0,0,0,0,0,0,19745.221954221513,18115.34545826043
265,0,0,0,0,0,0,19597.563522116772,18193.741892166003
266,0,0,0,0,0,0,19449.265130599764,18273.890212502993
267,0,0,0,0,0,0,19301.420833086413,18352.327909712792
268,0,0,0,0,0,0,19155.13424946718,18430.05369741897
269,0,0,0,0,0,0,19008.457608779427,18509.091255347812
270,0,0,0,0,0,0,18855.397999679863,18587.68865461203
271,0,0,0,0,0,0,18701.20026185785,18663.52493985961
272,0,0,0,0,0,0,18546.277931899796,18738.090401736386
273,0,0,0,0,0,0,18391.501582643534,18814.546003295964
274,0,0,0,0,0,0,18235.8641630065,18893.140734297886
275,0,0,0,0,0,0,18078.066424831613,18974.874334712636
276,0,0,0,0,0,0,17919.135882778908,19056.342836790824
277,0,0,0,0,0,0,17756.678062699462,19077.49241804535
278,0,0,0,0,0,0,17592.945031164098,19178.918202849953
279,0,0,0,0,0,0,17428.342402705395,19279.64664037759
280,0,0,0,0,0,0,17263.436833488377,19375.612696456323
281,0,0,0,0,0,0,17098.642846461298,19471.099125116376
282,0,0,0,0,0,0,16933.325472013144,19567.929409850698
283,0,0,0,0,0,0,16765.41454994738,19656.319767402412
284,0,0,0,0,0,0,16584.07876430209,19744.86602759223
285,0,0,0,0,0,0,16321.1583229582,19832.256161527224
286,0,0,0,0,0,0,16383.270168001281,19916.084187840508
287,0,0,0,0,0,0,16170.084454599015,19997.386954290985
288,0,0,0,0,0,0,15992.102200958288,20079.822617021997
289,0,0,0,0,0,0,15821.198480069683,20159.116335701154
290,0,0,0,0,0,0,15652.332999957449,20236.92570552245
291,0,0,0,0,0,0,15484.813886525904,20315.84586803543
292,0,0,0,0,0,0,15315.03611441183,20313.088052644947
293,0,0,0,0,0,0,15145.980455725925,20414.33147472624
294,0,0,0,0,0,0,14977.424226187155,20515.86161925586
295,0,0,0,0,0,0,14808.29066059527,20613.88536931246
296,0,0,0,0,0,0,14638.81238467623,20708.37675629255
297,0,0,0,0,0,0,14469.682841214148,20805.023312926118
